# a2mega 1_0a3 master pin map - signal / ESP32-S3 / BTB position / FPGA ball / per-die IO names
# Ball names are identical on Tang Mega 60K (GW5AT-60) and 138K (GW5AST-138): same PG484 package,
#  same SOM PCB. Bank numbering and IO names DIFFER per die - io_60k / io_138k columns from the
#  Sipeed SOM schematics (tang_mega_60k_30353 / tang_mega_138k_30354), see tang_mega_die_names.json.
#  The SERDES Q0 lanes 1 and 3 swap between the dies - lane columns give the die-true mapping
#  (NB the Sipeed 60K sheet itself labels the BTB DP pins with 138K-style lane names).
# NOTE: pins move again on board rev 1.0a4 (HyperRAM added, GS nets relocated) - re-extract with
#  boards/a2mega/tools/btb_pinmap.py before targeting 1.0a4.
# Sources: a2-mega repo (kicad_pcb pad nets + fpga_som_btb*.kicad_sch pin-name texts) + Sipeed SOM
#  schematics; validated against the working 1.0a2 a2mega.cst via the 1.0a2a netlist (12/12) and
#  0 mismatches between the a2-mega annotations and the Sipeed 138K PDF on overlapping balls.
signal,esp32_s3,btb,ball,io_60k,io_138k,lane_60k,lane_138k,notes
ESP32_JTAG_TMS,IO41,J1.3,,,JTAG.TMS,,,
ESP32_JTAG_TDO,IO39,J1.5,,,JTAG.TDO,,,
ESP32_JTAG_TCK,IO40,J1.7,,,JTAG.TCK,,,
ESP32_JTAG_TDI,IO42,J1.9,,,JTAG.TDI,,,
FPGA_BUS_~{OE},,J1.13,U21,BANK7_IOB115B,BANK4_IOB97B,,,
FPGA_A_DIR,,J1.15,T21,BANK7_IOB115A,BANK4_IOB97A,,,
FPGA_A0,,J1.19,T20,BANK7_IOB111B,BANK4_IOB102B,,,
FPGA_A1,,J1.23,R19,BANK7_IOB113B,BANK4_IOB99B,,,
FPGA_A2,,J1.25,P19,BANK7_IOB113A,BANK4_IOB99A,,,
FPGA_A3,,J1.31,N22,BANK5_IOR63A,BANK3_IOR89A,,,
FPGA_A4,,J1.33,M22,BANK5_IOR63B,BANK3_IOR89B,,,
FPGA_D_DIR,,J1.36,P20,BANK7,BANK4_IOB92A,,,
FPGA_A5,,J1.37,M21,BANK5_IOR68A,BANK3_IOR71A,,,
FPGA_A6,,J1.39,L21,BANK5_IOR68B,BANK3_IOR71B,,,
FPGA_D0,,J1.40,N18,BANK5_IOR72A,BANK3_IOR92A,,,
FPGA_A7,,J1.41,L19,BANK5_IOR61A,BANK3_IOR85A,,,
FPGA_D1,,J1.42,N19,BANK5_IOR72B,BANK3_IOR92B,,,
FPGA_A8,,J1.43,L20,BANK5_IOR61B,BANK3_IOR85B,,,
FPGA_D2,,J1.44,M18,BANK5_IOR66A,BANK3_IOR87A,,,
FPGA_A9,,J1.45,K21,BANK5_IOR59A,BANK3_IOR76A,,,
FPGA_D3,,J1.46,L18,BANK5_IOR66B,BANK3_IOR87B,,,
FPGA_A10,,J1.47,K22,BANK5_IOR59B,BANK3_IOR76B,,,
FPGA_D4,,J1.48,K18,BANK5_IOR57A,BANK3_IOR83A,,,
FPGA_A11,,J1.49,J22,BANK5_IOR45A,BANK3_IOR74A,,,
FPGA_D5,,J1.50,K19,BANK5_IOR57B,BANK3_IOR83B,,,
FPGA_A12,,J1.51,H22,BANK5_IOR45B,BANK3_IOR74B,,,
FPGA_D6,,J1.52,H17,BANK4_IOR32A,BANK3_IOR96A,,,
FPGA_A13,,J1.53,J20,BANK5_IOR54A,BANK3_IOR78A,,,
FPGA_D7,,J1.54,H18,BANK4_IOR32B,BANK3_IOR96B,,,
FPGA_A14,,J1.55,J21,BANK5_IOR54B,BANK3_IOR78B,,,
FPGA_~{M2SEL},,J1.56,J19,BANK5_IOR41A,BANK3_IOR80A,,,
FPGA_A15,,J1.57,G17,BANK4_IOR30A,BANK3_IOR107A,,,
FPGA_PHI1,,J1.58,H19,BANK5_IOR41B,BANK3_IOR80B,,,
FPGA_R{slash}~{W},,J1.59,G18,BANK4_IOR30B,BANK3_IOR107B,,,
